"Pacote"  "Taxa Transmissao" "Uso CPU"

128b 	23,88	99,90	
256b	44,19	99,93	
512b	100,85	98,95	
1kb 	107,78	95,94	
2kb 	107,92	82,96	
4kb		110,24	55,92	
8kb 	110,98 	42,66	
16kb	112,90 	27,29 	
32kb 	112,96 	19,43	
64kb 	113,82	15,03	


